text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @AquiPeixes: COMO FAZER UMA MULHER DE PEIXES FELIZ - SEJA:
1. Amigo
2. Companheiro
3. Amante
4. Bonito
5. Charmoso
6. Bom na... https://…",FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445965664256,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_Ariel1_,20,TRUE,FALSE,#N/A,#N/A
"RT @AquiLeao: COMO FAZER UMA MULHER DE LEÃO FELIZ - SEJA:
1. Amigo
2. Companheiro
3. Amante
4. Bonito
5. Charmoso
6. Bom na... https://t.co…",FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593440781557760,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fee_araaujo,30,TRUE,FALSE,#N/A,#N/A
o feed mais bonito do meu insta é o da gih,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593436956340225,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",espinosableh,0,FALSE,FALSE,#N/A,#N/A
RT @Polarizad0: Cuando te mandan un mensaje bonito y te quedas pensando en lo que te dijeron https://t.co/oqGEprLwxb,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593435861602304,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",__elisabet_,1148,TRUE,FALSE,#N/A,#N/A
RT @gorka71: Muy bonito espacio de convivencia social! #Zamareee https://t.co/RTIkmqBcco,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593435836481536,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",godoyy19,1,TRUE,FALSE,#N/A,#N/A
"RT @AquiAquario: COMO FAZER UMA MULHER DE AQUÁRIO FELIZ - SEJA:
1. Amigo
2. Companheiro
3. Amante
4. Bonito
5. Charmoso
6. Bom na... https:…",FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593434032939010,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Freitas_Gabii,19,TRUE,FALSE,#N/A,#N/A
RT @AlonsaDice: @aleesparza631 @cd9_ven @soyalonsovillal @ucancoder1 acostar a Alonsito (pero bonito no se pasen),FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593431713443841,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aleesparza631,1,TRUE,FALSE,#N/A,#N/A
"RT @Matimdice: ¡Hola! por el momento NO tengo Instagram, el que hay 'mío' es falso, cuando tenga uno les aviso va? Bonito día :) !!",FALSE,0,#N/A,11/11/2015 23:59:53,FALSE,#N/A,664593418144882688,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dayisjg,727,TRUE,FALSE,#N/A,#N/A
RT @Polarizad0: Cuando te mandan un mensaje bonito y te quedas pensando en lo que te dijeron https://t.co/oqGEprLwxb,FALSE,0,#N/A,11/11/2015 23:59:52,FALSE,#N/A,664593416723038212,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DianitaF_,1148,TRUE,FALSE,#N/A,#N/A
migas ta bonito? me ajudem obg dnd,FALSE,0,#N/A,11/11/2015 23:59:52,FALSE,#N/A,664593415187865600,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",wtffdavidl,0,FALSE,FALSE,#N/A,#N/A
RT @1in24: tem uns cara feio pra caralho que se disfarça de bonito por causa da barba e ainda dizem que mulheres que enganam com maquiagem,FALSE,0,#N/A,11/11/2015 23:59:52,FALSE,#N/A,664593414856515584,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Higelminha,56,TRUE,FALSE,#N/A,#N/A
"RT @S0NFRASES: No hay nada más bonito que una persona te diga: ""me hiciste mucha falta"".",FALSE,0,#N/A,11/11/2015 23:59:52,FALSE,#N/A,664593413841514496,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaryChera,53,TRUE,FALSE,#N/A,#N/A
RT @relatojovens: tao bonito nossas primeiras conversas nem parecia que eu ia tomar no cu,FALSE,0,#N/A,11/11/2015 23:59:49,FALSE,#N/A,664593402869235712,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dani_Mendy,403,TRUE,FALSE,#N/A,#N/A
RT @beIiwar: cansada de ser apenas mais um rostinho bonito,FALSE,0,#N/A,11/11/2015 23:59:49,FALSE,#N/A,664593401648664576,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mahoneiras,1,TRUE,FALSE,#N/A,#N/A
RT @Dnilo_F: essas minas juram que ficar falando igual homem é bonito!!,FALSE,0,#N/A,11/11/2015 23:59:48,FALSE,#N/A,664593398997889024,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CrisFariass,5,TRUE,FALSE,#N/A,#N/A
"RT @PrincesaSamaria: Resulta que cuando el amor se porta mal con uno, luego manda algo bonito para reivindicarse",FALSE,0,#N/A,11/11/2015 23:59:47,FALSE,#N/A,664593394346409984,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Carolina_207,420,TRUE,FALSE,#N/A,#N/A
"RT @AquiSagitario: COMO FAZER UMA MULHER DE SAGITÁRIO FELIZ - SEJA:
1. Amigo
2. Companheiro
3. Amante
4. Bonito
5. Charmoso
6. Bom... https…",FALSE,0,#N/A,11/11/2015 23:59:45,FALSE,#N/A,664593387132215297,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Maarlondione,23,TRUE,FALSE,#N/A,#N/A
"RT @vcsdoido: qual a graça de ser bonito? não tem aquela emoção de tirar 30 fotos, editar 15, escolher 2, apagar as 2 e não usar nenhuma",FALSE,0,#N/A,11/11/2015 23:59:45,FALSE,#N/A,664593384892403712,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",intercambinho,166,TRUE,FALSE,#N/A,#N/A
