text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @MashiRafael: ..cultura, fascinante.
Sobre hotel y centro de convenciones, mejor ni les cuento: realmente impresionantes.
Buenos resulta…",FALSE,0,#N/A,11/11/2015 23:59:36,FALSE,#N/A,664593346615222274,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aguado_gustavo,656,TRUE,FALSE,#N/A,#N/A
@JOANNALESS10 le fascinante a mi esposo,FALSE,0,JOANNALESS10,11/11/2015 23:58:17,FALSE,664590006594367488,664593019216207872,4204189998,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EdyLindaSwSex,0,FALSE,FALSE,#N/A,#N/A
@Furcias es tan fascinante que que que :(((,FALSE,1,Furcias,11/11/2015 23:57:45,FALSE,664515244291661824,664592884776177665,2490903538,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",skelxtonclique,0,FALSE,FALSE,#N/A,#N/A
"Ese lado depresivo, oscuro y fascinante está ahí, latente.",FALSE,0,#N/A,11/11/2015 23:56:02,FALSE,#N/A,664592450732867585,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AngelaOValencia,0,FALSE,FALSE,#N/A,#N/A
"L'histoire de Staline est fascinante

Fils de cordonnier
Expulsé du séminaire
Emprisonné à 24ans",FALSE,0,#N/A,11/11/2015 23:52:35,FALSE,#N/A,664591581262061568,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yvessadate,0,FALSE,FALSE,#N/A,#N/A
"RT @fracassio: Dolabela e sua fascinante militância freestyle, na qual você define o grupo do qual faz parte e as diretrizes do grupo com b…",FALSE,0,#N/A,11/11/2015 23:51:28,FALSE,#N/A,664591300784689152,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",eguaibera,1,TRUE,FALSE,#N/A,#N/A
"Muito lindo ! ??

A música é fascinante! https://t.co/d9YxEyWfm6",FALSE,0,#N/A,11/11/2015 23:50:31,FALSE,#N/A,664591062011240448,#N/A,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",gutovocal,0,FALSE,FALSE,#N/A,#N/A
Shia Labeouf es tan extrañamente fascinante.,FALSE,0,#N/A,11/11/2015 23:50:17,FALSE,#N/A,664591004062851072,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pokas__pekas,0,FALSE,FALSE,#N/A,#N/A
RT @ClaudiodeAPadua: @Escritor4 @amazon Assunto FASCINANTE! Vou comprar o livro. Obrigado pela sugestão!,FALSE,0,#N/A,11/11/2015 23:49:50,FALSE,#N/A,664590890787319809,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Escritor4,1,TRUE,FALSE,#N/A,#N/A
Alala tes fascinante — Pq ??? https://t.co/EYCRVJRDJ3,FALSE,0,#N/A,11/11/2015 23:48:14,FALSE,#N/A,664590487878287360,#N/A,"<a href=""http://ask.fm/"" rel=""nofollow"">Ask.fm</a>",Selenamsterdam,0,FALSE,FALSE,#N/A,#N/A
La vida es fascinante: sólo hay que mirarla a través de las gafas correctas.,FALSE,0,#N/A,11/11/2015 23:48:09,FALSE,#N/A,664590468949401600,#N/A,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",VaniaSoler_33,0,FALSE,FALSE,#N/A,#N/A
Fascinante,FALSE,1,#N/A,11/11/2015 23:47:59,FALSE,#N/A,664590424523333633,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",capjosu,0,FALSE,FALSE,#N/A,#N/A
"Dolabela e sua fascinante militância freestyle, na qual você define o grupo do qual faz parte e as diretrizes do grupo com base em whatever.",FALSE,2,#N/A,11/11/2015 23:47:39,FALSE,#N/A,664590340830179328,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",fracassio,1,FALSE,FALSE,#N/A,#N/A
RT @Laura_Gala_Dali: @Malouin0757 Fascinante color oro de la naturaleza amor...?? https://t.co/2ebZB8xxnh,FALSE,0,#N/A,11/11/2015 23:47:34,FALSE,#N/A,664590322358423552,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Malouin0757,1,TRUE,FALSE,#N/A,#N/A
fascinante!! ???? https://t.co/41gIZDgKUl,FALSE,0,#N/A,11/11/2015 23:47:22,FALSE,#N/A,664590268994224129,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",88Zoebel,0,FALSE,FALSE,#N/A,#N/A
"RT @MashiRafael: ..cultura, fascinante.
Sobre hotel y centro de convenciones, mejor ni les cuento: realmente impresionantes.
Buenos resulta…",FALSE,0,#N/A,11/11/2015 23:47:21,FALSE,#N/A,664590266578378752,#N/A,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",oscar_marcillo,656,TRUE,FALSE,#N/A,#N/A
@Malouin0757 Fascinante color oro de la naturaleza amor...?? https://t.co/2ebZB8xxnh,FALSE,2,Malouin0757,11/11/2015 23:46:54,FALSE,#N/A,664590153617281026,2871980904,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Laura_Gala_Dali,1,FALSE,FALSE,#N/A,#N/A
"#OsDezMandamentos,  #MarVermelho  novela fascinante.... ?",FALSE,0,#N/A,11/11/2015 23:45:57,FALSE,#N/A,664589915427049473,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lusouzateles,0,FALSE,FALSE,#N/A,#N/A
El fascinante paquete de los Encinos de México: https://t.co/YUbIKi1Q6H,FALSE,0,#N/A,11/11/2015 23:45:05,FALSE,#N/A,664589696857583620,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",arturitoinside,0,FALSE,FALSE,#N/A,#N/A
El fascinante paquete de los Encinos de México https://t.co/Y2goYJOdEg,FALSE,0,#N/A,11/11/2015 23:44:57,FALSE,#N/A,664589663651438592,#N/A,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",arturitoinside,0,FALSE,FALSE,#N/A,#N/A
RT @HERRERACORZAS: Fascinante @INEHRM  https://t.co/PRFKVLk8Dy,FALSE,0,#N/A,11/11/2015 23:44:42,FALSE,#N/A,664589598668910592,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",QHableVeracruz,1,TRUE,FALSE,#N/A,#N/A
RT @WayraMexico: Fascinante los objetivos seguidos por @LaboratoriaMX https://t.co/6EHUtDmCYh,FALSE,0,#N/A,11/11/2015 23:44:37,FALSE,#N/A,664589577227644928,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LaboratoriaMX,1,TRUE,FALSE,#N/A,#N/A
"@iuguisoos alguém que não goste de músicas, isso é interessante &gt;:oo (seu estranho e.e brincadeira u.u vc poderia contar o pq? É fascinante)",FALSE,1,iuguisoos,11/11/2015 23:44:19,FALSE,664586049348313090,664589502183292928,3884277197,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",remonade_senpai,0,FALSE,FALSE,#N/A,#N/A
"Estava eu, bem gótica fazendo a prova quando de repente o chuchu passa e me encara com aquele rosto fascinante que mdss me desconcertou",FALSE,0,#N/A,11/11/2015 23:43:45,FALSE,#N/A,664589360625549312,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vulgokatlin,0,FALSE,FALSE,#N/A,#N/A
@Marlon_Moreno_S hola hola me encanta la serie EL CAPO es emocionante fascinante wao lo veo aquí desde PERÚ bendiciones,FALSE,0,Marlon_Moreno_S,11/11/2015 23:43:34,FALSE,#N/A,664589315062767617,176728565,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",susan_sajami,2,FALSE,FALSE,#N/A,#N/A
RT @Capital967: ¡Fascinante! Mira cómo una burbuja de jabón se congela en 20 segundos (VIDEO) https://t.co/EHZEN0t2sg https://t.co/jaZCnN3D…,FALSE,0,#N/A,11/11/2015 23:43:06,FALSE,#N/A,664589197970403329,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",andinaurbana,3,TRUE,FALSE,#N/A,#N/A
El fascinante paquete de los Encinos de México: https://t.co/nBoYLerWI5,FALSE,0,#N/A,11/11/2015 23:42:56,FALSE,#N/A,664589153212891136,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",arturitoinside,0,FALSE,FALSE,#N/A,#N/A
El fascinante paquete de los Encinos de México https://t.co/Rrs5I7ONDW,FALSE,0,#N/A,11/11/2015 23:42:44,FALSE,#N/A,664589102474465280,#N/A,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",arturitoinside,0,FALSE,FALSE,#N/A,#N/A
"RT @xoantallon: Es fascinante salir de casa y encontrarte, en lugar de con una nación, con un vecino. Da que pensar.",FALSE,0,#N/A,11/11/2015 23:42:41,FALSE,#N/A,664589092500455425,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nariamti,13,TRUE,FALSE,#N/A,#N/A
RT @Capital967: ¡Fascinante! Mira cómo una burbuja de jabón se congela en 20 segundos (VIDEO) https://t.co/EHZEN0t2sg https://t.co/jaZCnN3D…,FALSE,0,#N/A,11/11/2015 23:41:56,FALSE,#N/A,664588901634482176,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",peggycultura,3,TRUE,FALSE,#N/A,#N/A
"RT @Eduardo_Mela: Fascinante casa árbol en Santa Mónica, California.  Te gustaria uno así https://t.co/23Usto1TW1",FALSE,0,#N/A,11/11/2015 23:41:55,FALSE,#N/A,664588899747000320,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Diegocabralre,12,TRUE,FALSE,#N/A,#N/A
"RT @Eduardo_Mela: Fascinante casa árbol en Santa Mónica, California.  Te gustaria uno así https://t.co/23Usto1TW1",FALSE,0,#N/A,11/11/2015 23:41:41,FALSE,#N/A,664588837755166720,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",joeldesouza2626,12,TRUE,FALSE,#N/A,#N/A
¡Fascinante! Mira cómo una burbuja de jabón se congela en 20 segundos (VIDEO) https://t.co/EHZEN0t2sg https://t.co/jaZCnN3D4L,FALSE,11,#N/A,11/11/2015 23:41:23,FALSE,#N/A,664588764124200962,#N/A,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Capital967,3,FALSE,FALSE,#N/A,#N/A
"RT @Luiscasob: Para la lectura del fin, comparto de Chesterton su novela ""El hombre que fue jueves"", texto oscuro y fascinante.
https://t.c…",FALSE,0,#N/A,11/11/2015 23:41:05,FALSE,#N/A,664588688316194816,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",susoca33,14,TRUE,FALSE,#N/A,#N/A
"RT @Luiscasob: Para la lectura del fin, comparto de Chesterton su novela ""El hombre que fue jueves"", texto oscuro y fascinante.
https://t.c…",FALSE,0,#N/A,11/11/2015 23:40:58,FALSE,#N/A,664588659090259968,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",susoca33,9,TRUE,FALSE,#N/A,#N/A
