text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @alejandrodr1903: ver las tendencias Cilia Flores y Coca juntas... es tan hermoso ...,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446515179520,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DiasFinales,4,TRUE,FALSE,#N/A,#N/A
"RT @evelin_lin06: DIANA S TE ROBASTE MI CORAZON 
HERMOSO EQUIPO ???? https://t.co/L8p71lI7tH",FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445370114049,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MafiaSanchez,8,TRUE,FALSE,#N/A,#N/A
"Escuchando Adele ""some like you"" mientras recuerdo tu hermoso culo moviéndose en mi verga.

Romantic life.",FALSE,3,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593439875604485,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jorgeberzosarey,0,FALSE,FALSE,#N/A,#N/A
"@PromoFamOnline @thefamOnline @jencarlosmusic El es más que lindo, él es perfecto, él es maravilloso, único, hermoso, y de todo, él perfect??",FALSE,3,PromoFamOnline,11/11/2015 23:59:57,FALSE,664587707612569600,664593436776005632,2169311083,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ingridpazmarin,2,FALSE,FALSE,#N/A,#N/A
"Hey hermoso !!!
Sabes ??? 
Estoy pensando en TI .... ??????",FALSE,3,#N/A,11/11/2015 23:59:55,FALSE,#N/A,664593428328620032,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mlia29,0,FALSE,FALSE,#N/A,#N/A
RT @belindapop: Qué hermoso de verdad gracias a todos!!!! ?????? https://t.co/EVCcSGJyp8,FALSE,0,#N/A,11/11/2015 23:59:53,FALSE,#N/A,664593418795016197,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",katebelifans,221,TRUE,FALSE,#N/A,#N/A
"Que les parece este hermoso y sexy guitarrista... Asi todo sudado..???? https://t.co/0zuJPpIvJB. 

Crto. TooK_JYH... https://t.co/qf5D8tEzlK",FALSE,0,#N/A,11/11/2015 23:59:52,FALSE,#N/A,664593414374203392,#N/A,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",CnblueMEX,1,FALSE,FALSE,#N/A,#N/A
@MRodOfficial Hey baby! Hablas el español mas hermoso *-*,FALSE,0,MRodOfficial,11/11/2015 23:59:50,FALSE,#N/A,664593408590225408,51219631,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",AdrianaTobias4,0,FALSE,FALSE,#N/A,#N/A
RT @_Incredulas: El amor es hermoso si lo sabemos cuidar,FALSE,0,#N/A,11/11/2015 23:59:49,FALSE,#N/A,664593403070541824,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",FlohAyelen_,224,TRUE,FALSE,#N/A,#N/A
RT @AngiePeErre11: Sos tan pero taaaan hermoso sebaa,FALSE,0,#N/A,11/11/2015 23:59:49,FALSE,#N/A,664593403057987584,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sebaalvarado10,1,TRUE,FALSE,#N/A,#N/A
"córdoba es hermoso , no quise regresar , fui con MaiaTreppo ludmila43781133 nadiia_vargas LourdesLanche febeguilln https://t.co/HBwRdX0SxD",FALSE,1,#N/A,11/11/2015 23:59:49,FALSE,#N/A,664593401422192640,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ingrid_M_Ojeda,0,FALSE,FALSE,#N/A,#N/A
