text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Que lindo calor chee??,FALSE,2,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446942990340,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cuerva35,1,FALSE,FALSE,#N/A,#N/A
"Entao desculpa, qual seu nome? Mas que sorriso lindo.. me diz, ele tem dono? Nao?! Entao eh comigo!",FALSE,3,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446590652417,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MarceloMooreira,5,FALSE,FALSE,#N/A,#N/A
"@Joaoguiavila João me segue coisa linda , você tão lindo lindo ??",FALSE,0,Joaoguiavila,11/11/2015 23:59:59,FALSE,#N/A,664593446489993217,3040168252,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sool_telles,0,FALSE,FALSE,#N/A,#N/A
"RT @Cami_Pereyraa: Fui a entrenar hoy, lo que hacía que no tocaba una pelota, que lindo estuvo !!!",FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446318047232,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cammalmeyda,1,TRUE,FALSE,#N/A,#N/A
"RT @vcsdoido: ""O amor é lindo... Até você se foder.""",FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445768531968,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",pedropereirakv_,210,TRUE,FALSE,#N/A,#N/A
RT @VivianaRiveroo: Que lindo es dormir sin tener hora para despertarrr,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445676294151,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alisonreinaldo2,3,TRUE,FALSE,#N/A,#N/A
RT @factdrew: como um ser humano pode ser tão lindo assim? #2DaysTillPURPOSE https://t.co/TL0OumREQH,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445474955264,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",justinmeunormal,4,TRUE,FALSE,#N/A,#N/A
RT @gregorossello: Qué lindo tener tantos hermanos. https://t.co/KOQPNrr0lR,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593444472528898,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EscrofaniCynthi,1130,TRUE,FALSE,#N/A,#N/A
"RT @elcosodelapizza: ""Che, qué lindo es estudiar""

-Yo, nunca.",FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593443730137088,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",96_alenmodi,1428,TRUE,FALSE,#N/A,#N/A
RT @UltraZorra_: Que lindo es estar solteraaaa ??,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593443478503425,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",azulftgonza,8,TRUE,FALSE,#N/A,#N/A
"RT @vcsdoido: ""O amor é lindo... Até você se foder.""",FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593442639650816,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gabrielzapata5,210,TRUE,FALSE,#N/A,#N/A
RT @melina1516: https://t.co/FqaDyPtOMR que lindo temaa,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593442119524352,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Caaamila_Rojas,1,TRUE,FALSE,#N/A,#N/A
Que lindo no ser nada con alguien pero que te cuide como si fuera todo.????????,FALSE,1,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593440706043904,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BaisDaiana,1,FALSE,FALSE,#N/A,#N/A
Lindo día :),FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593439485505536,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LoreDimartino,2,FALSE,FALSE,#N/A,#N/A
"@JozvanVera #PumasConTelcel Quisiera oír tu voz ya que me haría bien, te amo con toda mi vida eres él mas lindo???? @Gabrielatiznad2 ?? x593",FALSE,0,JozvanVera,11/11/2015 23:59:58,FALSE,#N/A,664593438965411841,261323087,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thecollinssmile,0,FALSE,FALSE,#N/A,#N/A
RT @Pibestweets: que lindo que los tildes azules se marquen apenas le envias,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593438860574724,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YazSeib,191,TRUE,FALSE,#N/A,#N/A
RT @FALLTOTOMLINSON: Nunca vai existir um otp hetero tão lindo como Sophiam  #BatalhaTVZ1D https://t.co/QUboLHZTmv,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593438730534912,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",camilegomiz,36,TRUE,FALSE,#N/A,#N/A
RT @MicaMoreni: ta lindo pa un pikiniki,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437753253889,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Abdon1899,6,TRUE,FALSE,#N/A,#N/A
"RT @vcsdoido: ""O amor é lindo... Até você se foder.""",FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437476438016,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",heitormattos22,210,TRUE,FALSE,#N/A,#N/A
RT @AbrilPrado: Que lindo no tener clases mañana??,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437279330304,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NicolasMamonde2,2,TRUE,FALSE,#N/A,#N/A
"@PromoFamOnline @thefamOnline @jencarlosmusic El es más que lindo, él es perfecto, él es maravilloso, único, hermoso, y de todo, él perfect??",FALSE,3,PromoFamOnline,11/11/2015 23:59:57,FALSE,664587707612569600,664593436776005632,2169311083,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ingridpazmarin,2,FALSE,FALSE,#N/A,#N/A
