text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"#MarDePlástico8 que maravilla de reparto,que final de capitulo,q intriga .. @LuchoFdez_Perla @PatrickCriado @pedrocasablanc @Jesus_Castro_5",FALSE,2,#N/A,11/11/2015 23:59:53,FALSE,#N/A,664593417834536960,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gabriker,1,FALSE,FALSE,#N/A,#N/A
RT @MRmusica: La experiencia de trabajar con @camilomusica ha sido una maravilla! Él es de los mejores artistas que… https://t.co/5Z1I3IHyaC,FALSE,0,#N/A,11/11/2015 23:59:51,FALSE,#N/A,664593412469956608,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",danielpirez95,29,TRUE,FALSE,#N/A,#N/A
@maravilla_mary dile jajajajajaja,FALSE,2,maravilla_mary,11/11/2015 23:59:51,FALSE,664592716844703744,664593410435751936,346631345,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CantilloP23,0,FALSE,FALSE,#N/A,#N/A
RT @EfrenMasterchef: Qué maravilla cenar tan bien y tan a gusto @TricicloMadrid Un placer chicos!,FALSE,0,#N/A,11/11/2015 23:59:50,FALSE,#N/A,664593408007266304,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TricicloMadrid,2,TRUE,FALSE,#N/A,#N/A
RT @cataratasarg: Existe un sitio natural que realmente no pasa desapercibido por quienes van en su búsqueda y que los maravilla... https:/…,FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593360137666560,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sandratweet,3,TRUE,FALSE,#N/A,#N/A
"RT @dvdecheverry: Jajajaja uy hicieron TT? Ujuuuum se merecen un plato de lechona con un tamal adicional, que maravilla ome!!!",FALSE,0,#N/A,11/11/2015 23:58:58,FALSE,#N/A,664593191044317184,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",YeimyAndreaa,26,TRUE,FALSE,#N/A,#N/A
Resolver una trama con discurso del protagonista que hace reflexionar a los malos tontorrones ¿es de primero o de segundo de disney?,FALSE,1,#N/A,11/11/2015 23:58:49,FALSE,#N/A,664593153408835584,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pes_maravilla,0,FALSE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:58:38,FALSE,#N/A,664593104842924032,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SabriCancino,50,TRUE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:58:30,FALSE,#N/A,664593071150116866,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BieberxPeltonen,50,TRUE,FALSE,#N/A,#N/A
"#MarDePlástico8 que maravilla de reparto,que final de capitulo,que intriga .. @lisilinder @Will_Shephard1 @maximo_pastor @yai_ramos",FALSE,3,#N/A,11/11/2015 23:58:26,FALSE,#N/A,664593055970914306,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gabriker,0,FALSE,FALSE,#N/A,#N/A
La mujer maravilla adolescente se esta poniendo patuda.,FALSE,0,#N/A,11/11/2015 23:58:09,FALSE,#N/A,664592981756878848,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The_GoatBoy,0,FALSE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:58:05,FALSE,#N/A,664592966401568768,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HeyItsFlor1,50,TRUE,FALSE,#N/A,#N/A
EL Replay En Venezuela Es Una Maravilla Bravo! #LVBP,FALSE,0,#N/A,11/11/2015 23:57:51,FALSE,#N/A,664592907698110464,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoseSantarosa21,0,FALSE,FALSE,#N/A,#N/A
"@RBADUEL QUE MARAVILLA!!!!! ME ALEGRA,  TIENEN QUE CAER TODOS ESTOS DELINCUENTAZOS!",FALSE,0,RBADUEL,11/11/2015 23:57:47,FALSE,664555722143891456,664592892900544513,61803846,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MARIVE_ND,0,FALSE,FALSE,#N/A,#N/A
"1 año y 1 mes a tu lado nenaaa,una maravilla el tenerte a mi… https://t.co/mFNzaEIeP2",FALSE,1,#N/A,11/11/2015 23:57:46,FALSE,#N/A,664592885979967493,#N/A,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",EloyMoreno93,1,FALSE,FALSE,#N/A,#N/A
Las milanesas napolitanas de mi abuela son la octava maravilla,FALSE,1,#N/A,11/11/2015 23:57:34,FALSE,#N/A,664592837372207104,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FrascaFacundo,0,FALSE,FALSE,#N/A,#N/A
RT @frases_de_moda: El sexo forma parte de la naturaleza. Y yo me llevo de maravilla con la naturaleza - Marilyn Monroe,FALSE,0,#N/A,11/11/2015 23:57:32,FALSE,#N/A,664592830300618752,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TaniaBlanco_m,1,TRUE,FALSE,#N/A,#N/A
"^-^Estoy amando cada detalle de mis días, como ahora disfrutando de este té, ES UNA MARAVILLA!!! ?????? https://t.co/vvaJDxzJxT",FALSE,6,#N/A,11/11/2015 23:57:31,FALSE,#N/A,664592825451982853,#N/A,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",rosannafreedom1,3,FALSE,FALSE,-79.5370139,8.9688143
@Madmuasella Que maravilla ser humano. Hasta tiempo para perder hay.,FALSE,0,Madmuasella,11/11/2015 23:57:28,FALSE,664591275891564544,664592809895268352,243034005,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Derribador,0,FALSE,FALSE,#N/A,#N/A
RT @Jesusgj7: Hemos perdido pero lo digo ya. Ojalá suba el @CDeportivoLugo. Imposible mejor trato al #SiempreySoloSFC. Aquí lo pasaríamos d…,FALSE,0,#N/A,11/11/2015 23:57:18,FALSE,#N/A,664592769005039616,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",davidtc_,48,TRUE,FALSE,#N/A,#N/A
@CantilloP23 jajajajjaa y el 8 pa el aniversario #2 del super ??????????,FALSE,0,CantilloP23,11/11/2015 23:57:05,FALSE,664591195088281601,664592716844703744,356471282,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",maravilla_mary,1,FALSE,FALSE,#N/A,#N/A
"@raquel_mgarrido Eres una maravilla, como persona y como profesional, que nada ni nadie te apague la sonrisa :)",FALSE,1,raquel_mgarrido,11/11/2015 23:57:05,FALSE,664565257059377152,664592714571345920,915237306,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoseJinsei,1,FALSE,FALSE,#N/A,#N/A
Que maravilla?,FALSE,0,#N/A,11/11/2015 23:56:50,FALSE,#N/A,664592652835364865,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PareceCaramelo,0,FALSE,FALSE,#N/A,#N/A
"RT @pepito_garca: Ya pueden cuidar en @CiudadanosCs a los que les hacen los vídeos, porque los hacen de maravilla. https://t.co/33EuoYH7fX",FALSE,0,#N/A,11/11/2015 23:56:28,FALSE,#N/A,664592558908121088,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jniorLpezgonza1,9,TRUE,FALSE,#N/A,#N/A
RT @jordievole: Es de los tipos de este país que más se hace querer. Y encima publica una maravilla como esta. Gracias @DANIROVIRA https://…,FALSE,0,#N/A,11/11/2015 23:56:22,FALSE,#N/A,664592533637496833,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rovi_9,272,TRUE,FALSE,#N/A,#N/A
Volver del gym y venir al balcón a acostarme a en la hamaca debería ser considerado otra maravilla ??,FALSE,1,#N/A,11/11/2015 23:56:20,FALSE,#N/A,664592526435852288,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CandelaNung,0,FALSE,FALSE,#N/A,#N/A
RT @misionesonline: Cuatro años de Cataratas como Maravilla del Mundo: posteá tu foto con el hashtag #CataratasDay2015 https://t.co/IBWkiM7…,FALSE,0,#N/A,11/11/2015 23:56:14,FALSE,#N/A,664592502570135552,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Andrewvil,5,TRUE,FALSE,#N/A,#N/A
"RT @RominaBelluscio: Cenando de maravilla en @kbkaravaka mucho mas que cocina japonesa ,desde hoy muy muy fan!!!!!??… https://t.co/nSaJW3S5Zb",FALSE,0,#N/A,11/11/2015 23:56:11,FALSE,#N/A,664592490142502913,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carbajosakbk,4,TRUE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:56:06,FALSE,#N/A,664592465735847937,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EsmeJB_01,50,TRUE,FALSE,#N/A,#N/A
RT @camilamyboss: la octava maravilla del mundo https://t.co/whFxJfrvM7,FALSE,0,#N/A,11/11/2015 23:56:03,FALSE,#N/A,664592454285402114,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",X_ManiK_X,238,TRUE,FALSE,#N/A,#N/A
@Zapata_Pesado Feliz cumpleaños Beto. Que la pases de maravilla y gracias por cantar tan bonito eso tu mejor regalo. https://t.co/m9e8f911Fr,FALSE,0,Zapata_Pesado,11/11/2015 23:55:54,FALSE,663018444846051330,664592415609724928,3027478291,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",adripesado11,0,FALSE,FALSE,#N/A,#N/A
"RT @Avila_CyL: Hoy nos marchamos con esta fotografía de @50jesusmartin, mirar qué maravilla de vistas !!! Buenas noches !!! https://t.co/Ow…",FALSE,0,#N/A,11/11/2015 23:55:38,FALSE,#N/A,664592349260029952,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tomas_amarrado,10,TRUE,FALSE,#N/A,#N/A
RT @juanes: Estrenando canal en Youtube y video de #LocoDeAmorTour. Qué maravilla de gira!! Y no ha terminado...https://t.co/wJATmnXVsp,FALSE,0,#N/A,11/11/2015 23:55:19,FALSE,#N/A,664592268557463553,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yessiandrade98,76,TRUE,FALSE,#N/A,#N/A
"@angeljimenez pues de maravilla :) seguro que los locales identifican que tienes algo raro, pero no identifican tu acento :)",FALSE,1,angeljimenez,11/11/2015 23:55:12,FALSE,664422073993961472,664592243211243520,6931722,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i?S</a>",zordor,0,FALSE,FALSE,#N/A,#N/A
RT @JohaOsorio_: Tumblr sí es qué maravilla ome entré triste y salí arrecha.,FALSE,0,#N/A,11/11/2015 23:55:12,FALSE,#N/A,664592240942194688,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FuckLuy,3,TRUE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:54:49,FALSE,#N/A,664592145442070529,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BeliebProject_,50,TRUE,FALSE,#N/A,#N/A
La octava maravilla del mundo https://t.co/IUHXetWy8f,FALSE,0,#N/A,11/11/2015 23:54:44,FALSE,#N/A,664592123019321344,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",littlegarrix,0,FALSE,FALSE,#N/A,#N/A
que maravilla se app AMO LA @Arrolladora  @j_medina37  @MIGUELCOBAS  @renecamacho_abl https://t.co/Xfa7maDJ8D,FALSE,4,#N/A,11/11/2015 23:54:43,FALSE,#N/A,664592118564978688,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",viviarrolladora,5,FALSE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:54:42,FALSE,#N/A,664592114714591233,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiBr42,50,TRUE,FALSE,#N/A,#N/A
"RT @Nagore_Robles: Qué maravilla poder disfrutar de ti!
Qué simpático, qué exquisito, qué humilde y qué grande! @PabloLopezMusic ???????? https…",FALSE,0,#N/A,11/11/2015 23:54:39,FALSE,#N/A,664592102177824768,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NagoRoblesG_CF,60,TRUE,FALSE,#N/A,#N/A
[@_LiziBrooks] &lt; vendría de maravilla para mantener el calor en su cuerpo y no se notase la diferencia de temperatura corporal entre él y &gt;,FALSE,0,FrederickKehler,11/11/2015 23:54:33,FALSE,664592069864914944,664592078551281664,3669108977,"<a href=""http://twittrp.com"" rel=""nofollow"">Twitt-RP</a>",FrederickKehler,0,FALSE,FALSE,#N/A,#N/A
Me gustó un video de @YouTube https://t.co/r6kMt7AYJj PES 2016 Myclub | COPA DESAFIO EN LÍNEA | MARAVILLA DE CARLOS MARTINS!! + Ball,FALSE,0,#N/A,11/11/2015 23:54:25,FALSE,#N/A,664592044493578240,#N/A,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",baigotadrian,0,FALSE,FALSE,#N/A,#N/A
RT @kirmady_: Admiremos esta maravilla y recordemos que él no sabe guiñar con el ojo izquierdo https://t.co/M3vYXztjCj,FALSE,0,#N/A,11/11/2015 23:54:10,FALSE,#N/A,664591981704818689,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BiieberOnSNL,50,TRUE,FALSE,#N/A,#N/A
Disfrutar de una hermosa puesta de sol que maravilla #comodacontigo @TalkMex @Saba_mx https://t.co/DTMfKhAOUi,FALSE,2,#N/A,11/11/2015 23:54:07,FALSE,#N/A,664591970115969024,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EvaReye36682773,0,FALSE,FALSE,#N/A,#N/A
El año pasado me levantada a las 7:00 y me levantaba de maravilla y este año que me levanto a las 8 y media voy arrastro,FALSE,0,#N/A,11/11/2015 23:54:06,FALSE,#N/A,664591964889702400,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hectorioto,0,FALSE,FALSE,#N/A,#N/A
RT @camilamyboss: la octava maravilla del mundo https://t.co/whFxJfrvM7,FALSE,0,#N/A,11/11/2015 23:53:53,FALSE,#N/A,664591911034994688,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",supportubieber,238,TRUE,FALSE,#N/A,#N/A
"RT @futboltotal: ¡5 nuevas caras para @Chivas en el Clausura 2016!

El 1 y el 3 les caerían de maravilla. https://t.co/bKfMgpx1ZA https://t…",FALSE,0,#N/A,11/11/2015 23:53:35,FALSE,#N/A,664591832848998406,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RichardsonRSP,5,TRUE,FALSE,#N/A,#N/A
"Tanta maravilla @ jadue, me da mala espina, 
#remedios más baratos.",FALSE,0,#N/A,11/11/2015 23:53:34,FALSE,#N/A,664591828910501888,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",liliperezleiton,0,FALSE,FALSE,#N/A,#N/A
"RT @rzneas: Todo iba saliendo de maravilla en el Foro de Medellin. 
Hasta hoy que les confirman captura de familiares del camarada Maduro e…",FALSE,0,#N/A,11/11/2015 23:53:30,FALSE,#N/A,664591811986464768,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",earangok,4,TRUE,FALSE,#N/A,#N/A
@marianaluciamuz @gakproducto !!!!!!!!!!!!!!!!!! FELIZ CUMPLE???????????? Pasala de maravilla junto con tu familia !!!!!!!,FALSE,0,marianaluciamuz,11/11/2015 23:53:20,FALSE,664587558463127552,664591773151416320,130626732,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ESATiniStoessel,0,FALSE,FALSE,#N/A,#N/A
