text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Kainis c @aldubvines , wala pa ko tulog tas hook agad ako s mga vids mo,, maawa ka nmn..grabe sarap ulit ulitin.
#ALDUB17thWeeksary",FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593433697378305,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yram0723,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593433143693313,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",edz_0821,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:55,FALSE,#N/A,664593429855342593,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chanelyang12345,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:54,FALSE,#N/A,664593425132580867,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",diego_maricel,206,TRUE,FALSE,#N/A,#N/A
"RT @jermelen: Nainggit po ako s coffee..hehehe
Tweet pa more
#ALDUB17thWeeksary  https://t.co/Z5nqisGEkD",FALSE,0,#N/A,11/11/2015 23:59:54,FALSE,#N/A,664593424377618434,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jophie30,9,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:59:51,FALSE,#N/A,664593411807293441,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sismaregie,717,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:50,FALSE,#N/A,664593408925790208,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",delarosalianne1,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:47,FALSE,#N/A,664593396313493504,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nerraj_estan29,206,TRUE,FALSE,#N/A,#N/A
"Positive: Hindi s'ya nahilik.
Negative: Ako ang nahilik! Nanghele pa kasi.

Emptybatt kaya namatay.?? https://t.co/C6mYJwfGMw",FALSE,0,#N/A,11/11/2015 23:59:40,FALSE,#N/A,664593365279907840,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",anything_goes2,0,FALSE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593361970536451,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nozpattygpc,717,TRUE,FALSE,#N/A,#N/A
RT @lyn_montefalco: Dont mention on your tweets ang kabilang LT baka magtrend pa dahil satin ok. INTIENDES. MALIWANAG PA S SIKAT NG ARAW ha…,FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593361031012352,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",carbielza,4,TRUE,FALSE,#N/A,#N/A
Philanthropies put spotlight on Pa. budget impasse's effect on social services - Pittsburgh Post-Gazette: Phil... https://t.co/V0W8LNEGjO,FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593359927959553,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",DouglasLoisel,0,FALSE,FALSE,#N/A,#N/A
"RT @Tomiholic: Gumawa ka man ng mabuti at maganda sa kapwa mo
Ikaw at ikaw pa rin Ang masama s paningin ng ibang Tao 

#ShowtimeToMiho",FALSE,0,#N/A,11/11/2015 23:59:37,FALSE,#N/A,664593354789900289,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SulibChristine,94,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:37,FALSE,#N/A,664593354244628480,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhingbulan,206,TRUE,FALSE,#N/A,#N/A
"O lock in dw s bismode, nkaHT pa sa atin..chossss! hihihi!  #ALDUB17thWeeksary  https://t.co/WbYWx4gFtI",FALSE,0,#N/A,11/11/2015 23:59:37,FALSE,#N/A,664593352801837057,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hufanda_r,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:37,FALSE,#N/A,664593350742405122,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",QLimbaga16,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:36,FALSE,#N/A,664593349060505600,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LagrisolaRap,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:31,FALSE,#N/A,664593328051195904,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VMondano,206,TRUE,FALSE,#N/A,#N/A
"@sigusigu_06 
????????
?????????
???????????????w
??????????????????????
???????
?S????????????",FALSE,0,pa_puru032,11/11/2015 23:59:31,FALSE,664589563000524800,664593327992512513,347941194,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pa_puru032,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:26,FALSE,#N/A,664593308375740417,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dane_14344,206,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:59:26,FALSE,#N/A,664593307511693312,#N/A,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",davy13che,717,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:23,FALSE,#N/A,664593295876694017,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",chillymarie,206,TRUE,FALSE,#N/A,#N/A
RT @AlDubPhCaloocan: She's so Lovely! How many RT for our Menggay? Tweet pa more!  #ALDUB17thWeeksary https://t.co/m2L8vXlsRC,FALSE,0,#N/A,11/11/2015 23:59:23,FALSE,#N/A,664593292747739136,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaderazoSylvia,40,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:21,FALSE,#N/A,664593285160288256,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AVisere,206,TRUE,FALSE,#N/A,#N/A
NEW Breadmaker's Guide: With 410 Recipes from Around the World by Jan Thomson Pa https://t.co/RT7Ue2c793 https://t.co/FIo2YQnToa,FALSE,0,#N/A,11/11/2015 23:59:16,FALSE,#N/A,664593262628458496,#N/A,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",LamontLayton,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:15,FALSE,#N/A,664593258463502336,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",roanaline,206,TRUE,FALSE,#N/A,#N/A
"Mas ficavam colocando coisa na minha cabeça, que era do Satan's e pá",FALSE,0,#N/A,11/11/2015 23:59:12,FALSE,#N/A,664593249491906560,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MatheeusHarper,0,FALSE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:59:12,FALSE,#N/A,664593248413999104,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",betty_nacional,717,TRUE,FALSE,#N/A,#N/A
"The @YorkCounty_PA Recorder's Office does this, too: https://t.co/V7dKszzy1S",FALSE,0,#N/A,11/11/2015 23:59:10,FALSE,#N/A,664593238364434433,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JoeGothie,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:06,FALSE,#N/A,664593220660252672,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joyax07,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:59:02,FALSE,#N/A,664593204466044928,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ridzzzz13,206,TRUE,FALSE,#N/A,#N/A
RT @AlDubPhCaloocan: She's so Lovely! How many RT for our Menggay? Tweet pa more!  #ALDUB17thWeeksary https://t.co/m2L8vXlsRC,FALSE,0,#N/A,11/11/2015 23:58:57,FALSE,#N/A,664593186795470848,#N/A,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Mimangss,40,TRUE,FALSE,#N/A,#N/A
RT @__Shark92: Jul il a mis du temps à sortir en Y parce que il s'entraînait à lever en t max il a dit wallah j'vais le cabrer ds le clip s…,FALSE,0,#N/A,11/11/2015 23:58:55,FALSE,#N/A,664593177064665089,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chriiis_Neves,66,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:52,FALSE,#N/A,664593164527910913,#N/A,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LeahLeahaq,206,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:58:50,FALSE,#N/A,664593154205745153,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",chrislyn323,717,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:44,FALSE,#N/A,664593131384475648,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YusopRaiza,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:39,FALSE,#N/A,664593107527327744,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",merasolcabayao,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:33,FALSE,#N/A,664593084269903872,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dedith10,206,TRUE,FALSE,#N/A,#N/A
"Natuwa ako may Billboard ang Aldub dto s marikina!!woohh!blessings pa more!!

 #ALDUB17thWeeksary",FALSE,1,#N/A,11/11/2015 23:58:28,FALSE,#N/A,664593061637431296,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mlpalomeno,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:25,FALSE,#N/A,664593049541066753,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",04lys,206,TRUE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:16,FALSE,#N/A,664593015000969217,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JhanHadjirul,206,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:58:15,FALSE,#N/A,664593009732923393,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bb06miyuki,717,TRUE,FALSE,#N/A,#N/A
Happy birthday Pa. We all love you and miss you.Can't believe it's been 4… https://t.co/1v2pBQtAui,FALSE,1,#N/A,11/11/2015 23:58:11,FALSE,#N/A,664592991915540480,#N/A,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",RealChrisTorres,0,FALSE,FALSE,#N/A,#N/A
"RT @kuleeet23: Fave scene na gnawa ni Tommy in BB's haus, yung mga pgtali nila ni Miho ng kamay at paa pra dna mkwala pa sa kanya, lol!

#S…",FALSE,0,#N/A,11/11/2015 23:58:06,FALSE,#N/A,664592971107540992,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MihoNishidaOFC,206,TRUE,FALSE,#N/A,#N/A
"PA Live: YCL What's Happening with Monica Rae November 11, 2015 - PA home page #Rae https://t.co/kIdIJp7N8a",FALSE,0,#N/A,11/11/2015 23:58:04,FALSE,#N/A,664592962895134720,#N/A,"<a href=""http://www.forcetweet.nl"" rel=""nofollow"">ForceTweet</a>",RaeNws,0,FALSE,FALSE,#N/A,#N/A
RT @AlDubPhCaloocan: She's so Lovely! How many RT for our Menggay? Tweet pa more!  #ALDUB17thWeeksary https://t.co/m2L8vXlsRC,FALSE,0,#N/A,11/11/2015 23:57:59,FALSE,#N/A,664592940426272771,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SusanLambongan,40,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:57:58,FALSE,#N/A,664592938425536517,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reynanides,717,TRUE,FALSE,#N/A,#N/A
"RT @ToMihoOFC: Tweet UPDATE: Push pa more! TwoM Goal. Let's do this

#ShowtimeToMiho https://t.co/0V2obqpoSb",FALSE,0,#N/A,11/11/2015 23:57:55,FALSE,#N/A,664592926975107072,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",janker08,717,TRUE,FALSE,#N/A,#N/A
RT @AlDubPhCaloocan: She's so Lovely! How many RT for our Menggay? Tweet pa more!  #ALDUB17thWeeksary https://t.co/m2L8vXlsRC,FALSE,0,#N/A,11/11/2015 23:57:55,FALSE,#N/A,664592924760547328,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",juvy_ignacio,40,TRUE,FALSE,#N/A,#N/A
