text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @MaPauPayares: Fuiste tan fugaz que no llegue a amarte como hubiera querido.Vos te perdiste de un amor incondicional, y yo me salve de o…",FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437803593729,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DiiazLeila,158,TRUE,FALSE,#N/A,#N/A
Siempre he querido de decoracion para mi habitacion una silla de esas del pressing catch xd Pero me parece que iria armado siempre con ella,FALSE,1,#N/A,11/11/2015 23:59:47,FALSE,#N/A,664593395793453059,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JuanLuYisusWTF,0,FALSE,FALSE,#N/A,#N/A
"RT @NaviaCris: Frente al Divina estás querido Cris, que lindo:  @dalevidaacris  ! Vamos Chile ellos son prioridad nacional ! https://t.co/h…",FALSE,0,#N/A,11/11/2015 23:59:45,FALSE,#N/A,664593387438399488,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Trini_Moreno,4,TRUE,FALSE,#N/A,#N/A
"RT @tiquinDirection: querido diário hoje teve música nova, today do zayn de toca e conhecendo fãs... n ta sendo nada fácil #WhatAFeeling ht…",FALSE,0,#N/A,11/11/2015 23:59:44,FALSE,#N/A,664593381536960513,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShaaDo1D,100,TRUE,FALSE,#N/A,#N/A
"RT @elpecador_: Querido diário, hoje o esquilo perguntou o meu nome, e eu disse que era Joe. Essa mentira me assombrará para sempre.",FALSE,0,#N/A,11/11/2015 23:59:43,FALSE,#N/A,664593377791492097,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PotatoDo_Zico,19,TRUE,FALSE,#N/A,#N/A
"RT @MacaCutrera: Última foto que te saque. Yéndote... Te vas respetado, querido, ovacionado. Nos hiciste históricamente felices https://t.c…",FALSE,0,#N/A,11/11/2015 23:59:42,FALSE,#N/A,664593375337820160,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NiicoCuervoo,81,TRUE,FALSE,#N/A,#N/A
"Hermanita querido dejame decirte que si la beriso es tu banda de rock ,sos el germánico menor de chano.",FALSE,2,#N/A,11/11/2015 23:59:42,FALSE,#N/A,664593372422799361,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MatiTelesca17,0,FALSE,FALSE,#N/A,#N/A
querido diario a crush compartilhou minha musica fav eu comentei uma parte ela rspd se eu comentar dnv ta na parte q diz me da uma chance,FALSE,0,#N/A,11/11/2015 23:59:41,FALSE,#N/A,664593370556276737,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",apegovondy,0,FALSE,FALSE,#N/A,#N/A
"Querido Deus, por favor me dê coragem pra estudar. Grata desde já",FALSE,6,#N/A,11/11/2015 23:59:41,FALSE,#N/A,664593369470017536,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",eduardaneivaa,9,FALSE,FALSE,#N/A,#N/A
"RT @espia_k: Scioli querido...
La propaganda de las mascaras de macri...son para un funeral ....
Mira q sos copion y limitado.....pobrecito",FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593362641637376,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",danytagiuffre,5,TRUE,FALSE,#N/A,#N/A
