text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Necesito vacaciones YA,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446250876933,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ludmifonseca,0,FALSE,FALSE,#N/A,#N/A
RT @matiasbravoS2: Esta semana y la otra a full con el colegio asi me voy de vacaciones,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593443151355905,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FacundoLeanza,4,TRUE,FALSE,#N/A,#N/A
RT @elcosodelapizza: Basta de colegio ??? quiero vacaciones ??????,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593440727015424,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Nooe_vazquez,3982,TRUE,FALSE,#N/A,#N/A
RT @elcosodelapizza: Basta de colegio ??? quiero vacaciones ??????,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437937782786,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SSabrinaherrero,3982,TRUE,FALSE,#N/A,#N/A
RT @ItNahuel: necesito las vacaciones urgente ?????,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593437631606787,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Lean_Martinnez,213,TRUE,FALSE,#N/A,#N/A
RT @ItNahuel: necesito las vacaciones urgente ?????,FALSE,0,#N/A,11/11/2015 23:59:57,FALSE,#N/A,664593435815448576,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jose_Nicrosini,213,TRUE,FALSE,#N/A,#N/A
RT @fer102399: Necesito vacaciones YA????,FALSE,0,#N/A,11/11/2015 23:59:55,FALSE,#N/A,664593429314330625,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cristian7897874,6,TRUE,FALSE,#N/A,#N/A
RT @ItNahuel: necesito las vacaciones urgente ?????,FALSE,0,#N/A,11/11/2015 23:59:53,FALSE,#N/A,664593421731020800,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Juli_Arganarazz,213,TRUE,FALSE,#N/A,#N/A
RT @oyeamiga: Por qué no podemos saltarnos todo el drama de finales y ya salir de vacaciones???,FALSE,0,#N/A,11/11/2015 23:59:46,FALSE,#N/A,664593390781247489,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cynthiie,191,TRUE,FALSE,#N/A,#N/A
RT @oyeamiga: Por qué no podemos saltarnos todo el drama de finales y ya salir de vacaciones???,FALSE,0,#N/A,11/11/2015 23:59:45,FALSE,#N/A,664593385223778305,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Greisypos_,191,TRUE,FALSE,#N/A,#N/A
@chichitavignati @moniromboli la directora del interzonal se fue de vacaciones a Panamá y dejo al hospital a la buena se Dios porque se va .,FALSE,0,chichitavignati,11/11/2015 23:59:44,FALSE,664584293927231488,664593381004328961,184903356,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",juandedioscalvo,2,FALSE,FALSE,#N/A,#N/A
necesito las vacaciones urgente ?????,FALSE,35,#N/A,11/11/2015 23:59:43,FALSE,#N/A,664593377569202178,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ItNahuel,213,FALSE,FALSE,#N/A,#N/A
RT @LuannaGonzalez_: Filosofía me caga las vacaciones saben,FALSE,0,#N/A,11/11/2015 23:59:41,FALSE,#N/A,664593367771279361,#N/A,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",federicobarbi20,1,TRUE,FALSE,#N/A,#N/A
RT @oyeamiga: Por qué no podemos saltarnos todo el drama de finales y ya salir de vacaciones???,FALSE,0,#N/A,11/11/2015 23:59:39,FALSE,#N/A,664593361131741187,#N/A,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",sara_tev,191,TRUE,FALSE,#N/A,#N/A
RT @NicolasJhei: Basta de colegio ??? quiero vacaciones ??????,FALSE,0,#N/A,11/11/2015 23:59:37,FALSE,#N/A,664593351447085056,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JazMazzei,76,TRUE,FALSE,#N/A,#N/A
"RT @thalia_esquivel: Diciembre es el mejor mes, fiestas, farras, vacaciones, ni ahí estar por nada solo disfrutar de la familia, amigos y d…",FALSE,0,#N/A,11/11/2015 23:59:34,FALSE,#N/A,664593341493944320,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",milagrosmb_,274,TRUE,FALSE,#N/A,#N/A
RT @JonathnFlores: No veo la hora de estar en vacaciones y no saber nada por unos meses.,FALSE,0,#N/A,11/11/2015 23:59:33,FALSE,#N/A,664593338042097664,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",maia_pedernera,62,TRUE,FALSE,#N/A,#N/A
"RT @FacuCastellon: Se vienen las fiestas, verano, vacaciones todo muy copado????????????????????",FALSE,0,#N/A,11/11/2015 23:59:32,FALSE,#N/A,664593331163369472,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MarianoArieel,1,TRUE,FALSE,#N/A,#N/A
RT @soyunabateria: Les juro que nunca desee tanto las vacaciones de verano.,FALSE,0,#N/A,11/11/2015 23:59:31,FALSE,#N/A,664593327883427840,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",agusquiroz6,290,TRUE,FALSE,#N/A,#N/A
RT @oyeamiga: Por qué no podemos saltarnos todo el drama de finales y ya salir de vacaciones???,FALSE,0,#N/A,11/11/2015 23:59:30,FALSE,#N/A,664593322422439936,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",olasoylaana,191,TRUE,FALSE,#N/A,#N/A
"Un poquito más rápido vacaciones, por favor ??????",FALSE,1,#N/A,11/11/2015 23:59:29,FALSE,#N/A,664593318869925888,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PamelaLescanoOK,2,FALSE,FALSE,#N/A,#N/A
No veo la hora de que termine el colegio y irme de vacaciones,FALSE,2,#N/A,11/11/2015 23:59:27,FALSE,#N/A,664593309764034561,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",giulib34,1,FALSE,FALSE,#N/A,#N/A
"RT @NicolasmoyaOK: Por favor, quiero que YA se terminen las clases y empiecen las vacaciones, verano, pileta, sol, dormir ?????????????",FALSE,0,#N/A,11/11/2015 23:59:25,FALSE,#N/A,664593300838576129,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gonzzzalez,13,TRUE,FALSE,#N/A,#N/A
RT @elcosodelapizza: Basta de colegio ??? quiero vacaciones ??????,FALSE,0,#N/A,11/11/2015 23:59:24,FALSE,#N/A,664593299701964800,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CamiiAzurica,3982,TRUE,FALSE,#N/A,#N/A
Sentime @paulagarcia3 en que quedaron ???????? (las vacaciones?),FALSE,1,#N/A,11/11/2015 23:59:24,FALSE,#N/A,664593298573631488,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wandafranzi,0,FALSE,FALSE,#N/A,#N/A
