text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
New post: Semen Padang Goda Jajang Sukmara Tinggalkan Persib https://t.co/OBuRak7qkX,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446657794054,#N/A,"<a href=""http://manggeku.com"" rel=""nofollow"">Manggeku.Com</a>",manggeku,0,FALSE,FALSE,#N/A,#N/A
Lorenzo Minta Penggemar Hormati Sikap Rossi: Akhir-akhir ini Rossi kerap mengeluarkan kome... https://t.co/CLH8JEVEQu #RanoKarnoHRSMundur,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593446204784640,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",mega_Fadhilah76,0,FALSE,FALSE,#N/A,#N/A
RT @El_PlagueonPy: Que Viva el Paraguay!!! https://t.co/pEgpmcR9BB,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445600796674,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mila_mtz,245,TRUE,FALSE,#N/A,#N/A
Heboh Pose Ely Sugigi di Atas Tempat Tidur: Foto diunggah di Instagram. https://t.co/rCdBYcwOLr #RanoKarnoHRSMundur,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593445143617536,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",mega_Fadhilah76,0,FALSE,FALSE,#N/A,#N/A
Nasib Dokter yang Kepergok Indehoi dengan Tiga PSK: Dua wanita di antaranya masih duduk di... https://t.co/72bpLBGpqe #RanoKarnoHRSMundur,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593443730116609,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",mega_Fadhilah76,0,FALSE,FALSE,#N/A,#N/A
RT @rcabrero75: El Rey retira el ducado a la Infanta pero le mantienen los 425000€ para que viva en Suiza #MiCorazonEsRepublicano https://t…,FALSE,0,#N/A,11/11/2015 23:59:59,FALSE,#N/A,664593443440738304,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",letydcn,97,TRUE,FALSE,#N/A,#N/A
RT @muytristehoy: lo que no te mata te entierra viva,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593442757058560,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mica_RivasOk,307,TRUE,FALSE,#N/A,#N/A
"Diganggu Haters, Mulan Jameela Sambangi Polda: ""Kesabaran Mulan sudah habis."" https://t.co/Iu2deZBLah #RanoKarnoHRSMundur",FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593442647986182,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",mega_Fadhilah76,0,FALSE,FALSE,#N/A,#N/A
Berani Menginap di Hotel Paling Berhantu Ini?: Hotel ini dibangun pada tahun 1912. https://t.co/GmdQ2FNurw #RanoKarnoHRSMundur,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593441490378753,#N/A,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",mega_Fadhilah76,0,FALSE,FALSE,#N/A,#N/A
Otra semana que pasa y yo sigo sin saber que mierda estudiar el año que viene. Pero que viva yo carajo ??,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593439682600960,#N/A,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sofiavignolo,1,FALSE,FALSE,#N/A,#N/A
