text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@kaifkaesque @losthero47 i remember that tweet and it was wonderful. thank you Vox. which is to say, thank you me. as im Vox now",FALSE,3,kaifkaesque,11/11/2015 23:59:59,FALSE,664593192881364993,664593445835677696,743886456,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JeremyMonjo,0,FALSE,FALSE,#N/A,#N/A
RT @lhinson74: @blakeshelton My wonderful dad served in Vietnam. https://t.co/eBVMfUfpXi,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593441666502656,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",loswochoos,52,TRUE,FALSE,#N/A,#N/A
RT @heyhayes0: @RachelPlatten thank you for such wonderful &amp; inspirational music,FALSE,0,#N/A,11/11/2015 23:59:58,FALSE,#N/A,664593441599455232,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",plattenums,1,TRUE,FALSE,#N/A,#N/A
"@bencubby Who would have thought there were English painters with such a vivid sense of colour. Some wonderful paintings 
@EastLondonGroup",FALSE,2,bencubby,11/11/2015 23:59:58,FALSE,#N/A,664593439925870594,255753616,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GaryGolledge,1,FALSE,FALSE,#N/A,#N/A
I had the chance to test an iPad Pro last week and it is wonderful- light for its size &amp; going back to the regular iPad after feels cramped.,FALSE,1,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593433856745472,#N/A,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i?S</a>",macinfoirl,0,FALSE,FALSE,#N/A,#N/A
"Good morning, kuya pogi! Wishing you have a wonderful morning to start your day. Smile always. Love much!! @josephCmarco ?????",FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593433483419649,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",itsmaristela,0,FALSE,FALSE,#N/A,#N/A
RT @jessieuvino: life is such a wonderful thing when you learn to have an optimistic outlook on things,FALSE,0,#N/A,11/11/2015 23:59:56,FALSE,#N/A,664593431642161152,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",radiantellie,4,TRUE,FALSE,#N/A,#N/A
"Our newsfeed today has been a wonderful display of gratitude for the service of our Veterans!! Thank you today,... https://t.co/6Zx8LKx7rZ",FALSE,0,#N/A,11/11/2015 23:59:55,FALSE,#N/A,664593428643229696,#N/A,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",MonkeesLLC,0,FALSE,FALSE,#N/A,#N/A
RT @VSAvolunteer: A group of our wonderful volunteers meet in Wellington before heading out for various assignments across the Pacific http…,FALSE,0,#N/A,11/11/2015 23:59:55,FALSE,#N/A,664593427586293761,#N/A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kalena,4,TRUE,FALSE,#N/A,#N/A
"RT @santafeez: Daniel Borg a ""Pal activist"" wrote how wonderful IDF were in Hebron for Aug article in Israellycool but identifies as Zionis…",FALSE,0,#N/A,11/11/2015 23:59:54,FALSE,#N/A,664593425967276033,#N/A,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Angeldelight83,10,TRUE,FALSE,#N/A,#N/A
